Date,Start Time,Volume_data1,Read Time,Volume_data2,Error
2025-09-26,2025-09-26 12:00:55,6000,2025-09-26 10:53:53,6898.32,898.3199999999997
2025-09-27,2025-09-27 06:15:58,10000,2025-09-27 08:00:00,6700.16,3299.84
2025-09-28,2025-09-28 07:20:09,10000,2025-09-28 08:00:00,6487.44,3512.5600000000004
2025-09-29,2025-09-29 08:08:48,20000,2025-09-29 08:00:00,6501.68,13498.32
2025-09-30,2025-09-30 07:09:16,10000,2025-09-30 07:45:00,6187.28,3812.7200000000003
2025-10-01,2025-10-01 05:19:04,10000,2025-10-01 08:00:00,5994.64,4005.3599999999997
2025-10-02,2025-10-02 07:15:33,15000,2025-10-02 08:00:00,5719.44,9280.560000000001
