id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
9c55d1e144a24e3ba1d1ff0fcfed0990/7678/2025-10-02 04:15:00/2025-10-02 04:20:11/""/1/"D107"/"7217.5"/"5774.0"/"16.22"/"564"/
65c757c42ee64f45953f6fd019b7dbf9/7678/2025-10-02 04:00:00/2025-10-02 04:05:11/""/1/"D107"/"7188.8"/"5751.04"/"16.16"/"563"/
f73bd7c3b6dd4df28297074651f83982/7678/2025-10-02 03:45:00/2025-10-02 03:50:06/""/1/"D107"/"7235.7"/"5788.56"/"16.26"/"562"/
b91dd1c909a349b6b50a9d6bc840f8d0/7678/2025-10-02 03:30:00/2025-10-02 03:35:11/""/1/"D107"/"7203.2"/"5762.56"/"16.19"/"561"/
e96dba3628ab4cea8f380e4768f9a339/7678/2025-10-02 03:15:00/2025-10-02 03:20:11/""/1/"D107"/"7210.5"/"5768.4"/"16.21"/"560"/
d82a5f2e6b7148ffba9f30c73267972d/7678/2025-10-02 03:00:00/2025-10-02 03:05:01/""/1/"D107"/"7214.3"/"5771.44"/"16.22"/"559"/
885aa3543c954ea1958f20593beb25b1/7678/2025-10-02 02:45:00/2025-10-02 02:50:06/""/1/"D107"/"7205.1"/"5764.08"/"16.20"/"558"/
1e8ccea74af8442ab05696a42aa7dbbd/7678/2025-10-02 02:30:00/2025-10-02 02:35:06/""/1/"D107"/"7215.7"/"5772.56"/"16.22"/"557"/
bf337dd6cf2a4992909c2a43760f72f7/7678/2025-10-02 02:15:00/2025-10-02 02:20:01/""/1/"D107"/"7245.8"/"5796.64"/"16.29"/"556"/
dcc80c0b308e4cf08474c2ac3934c208/7678/2025-10-02 02:00:00/2025-10-02 02:05:01/""/1/"D107"/"7237.8"/"5790.24"/"16.27"/"555"/
