id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
9f6c4a5e463543fda491560a404be66e/7678/2025-09-30 23:30:00/2025-09-30 23:35:11/""/1/"D107"/"7613.6"/"6090.88"/"17.11"/"449"/
a350a407269c44abb259964b1fc4ab8f/7678/2025-09-30 23:15:00/2025-09-30 23:20:06/""/1/"D107"/"7590.9"/"6072.72"/"17.06"/"448"/
7cb2d77d4c7549d08ba92c2bf094beba/7678/2025-09-30 23:00:00/2025-09-30 23:05:01/""/1/"D107"/"7634.9"/"6107.92"/"17.16"/"447"/
1ff05b897fcc4bd7a4a125c8dbd4fc37/7678/2025-09-30 22:45:00/2025-09-30 22:50:11/""/1/"D107"/"7592.8"/"6074.24"/"17.07"/"446"/
bc020ef861c94e728b876a8a02a6fb02/7678/2025-09-30 22:30:00/2025-09-30 22:35:06/""/1/"D107"/"7623.9"/"6099.12"/"17.14"/"445"/
4ebe5a0e7fd745688f48a12c46b3a023/7678/2025-09-30 22:15:00/2025-09-30 22:20:06/""/1/"D107"/"7610.7"/"6088.56"/"17.11"/"444"/
cf7dc8e960964934a0c9f9aa0305b47d/7678/2025-09-30 22:00:00/2025-09-30 22:05:06/""/1/"D107"/"7615.5"/"6092.4"/"17.12"/"443"/
54a83776161443b2811063c2bb31b9f6/7678/2025-09-30 21:45:00/2025-09-30 21:50:06/""/1/"D107"/"7604.5"/"6083.6"/"17.09"/"442"/
10e10e52dcde41a8ae4f250597f3e827/7678/2025-09-30 21:30:00/2025-09-30 21:35:11/""/1/"D107"/"7606.6"/"6085.28"/"17.10"/"441"/
b8978a1f70404478b2460809fad0a262/7678/2025-09-30 21:15:00/2025-09-30 21:20:06/""/1/"D107"/"7664.3"/"6131.44"/"17.23"/"440"/
116039fe3c374aeb915513e8613fad7b/7678/2025-09-30 21:00:00/2025-09-30 21:05:11/""/1/"D107"/"7609.5"/"6087.6"/"17.11"/"439"/
0bc6ee0ae03940e0a18668af675ac91d/7678/2025-09-30 20:45:00/2025-09-30 20:50:06/""/1/"D107"/"7622.7"/"6098.16"/"17.13"/"438"/
069605cc05274d51b5b421aec674d017/7678/2025-09-30 20:30:00/2025-09-30 20:35:01/""/1/"D107"/"7631.8"/"6105.44"/"17.16"/"437"/
b598c15bb0de4eab82132e5cce222cac/7678/2025-09-30 20:15:00/2025-09-30 20:20:06/""/1/"D107"/"7648.3"/"6118.64"/"17.19"/"436"/
516fa4f5e52949829d6f2589854242b7/7678/2025-09-30 20:00:00/2025-09-30 20:05:01/""/1/"D107"/"7675.3"/"6140.24"/"17.25"/"435"/
319f68e7ae504263b6a7a2df76773632/7678/2025-09-30 19:45:00/2025-09-30 19:50:11/""/1/"D107"/"7626.2"/"6100.96"/"17.14"/"434"/
cbb96d01333f496ab8d7b8ad2441dbeb/7678/2025-09-30 19:30:00/2025-09-30 19:35:11/""/1/"D107"/"7629.1"/"6103.28"/"17.15"/"433"/
d2750eb68b004f94af78e3cbaee7e2ed/7678/2025-09-30 19:15:00/2025-09-30 19:20:06/""/1/"D107"/"7689.3"/"6151.44"/"17.28"/"432"/
344c321472b0416ea5e09df318117b1d/7678/2025-09-30 19:00:00/2025-09-30 19:05:11/""/1/"D107"/"7671.4"/"6137.12"/"17.24"/"431"/
ceed9a22c6e641e2a4d56dfac7b4a0e8/7678/2025-09-30 18:45:00/2025-09-30 18:50:11/""/1/"D107"/"7654.0"/"6123.2"/"17.21"/"430"/
c4845cb52b704130ab8cd6abff08d947/7678/2025-09-30 18:30:00/2025-09-30 18:35:11/""/1/"D107"/"7690.7"/"6152.56"/"17.29"/"429"/
f2f22aaae7ac47db8fa01c1c22baf43d/7678/2025-09-30 18:15:00/2025-09-30 18:20:11/""/1/"D107"/"7653.7"/"6122.96"/"17.20"/"428"/
e2d0f161d00544b9870ca96744869a11/7678/2025-09-30 18:00:00/2025-09-30 18:04:26/""/1/"D107"/"7707.0"/"6165.6"/"17.32"/"427"/
ee731d3f2e7142d0b705480674432fdf/7678/2025-09-30 17:45:00/2025-09-30 17:50:06/""/1/"D107"/"7710.5"/"6168.4"/"17.33"/"426"/
6a9898a83e194d13856f410f3104d7f0/7678/2025-09-30 17:30:00/2025-09-30 17:35:16/""/1/"D107"/"7671.0"/"6136.8"/"17.24"/"425"/
19bbf4097439423e9c4b9f9475daa1f0/7678/2025-09-30 17:15:00/2025-09-30 17:20:11/""/1/"D107"/"7713.1"/"6170.48"/"17.34"/"424"/
2743754a7aa54b9e926e9aed883df7d0/7678/2025-09-30 17:00:00/2025-09-30 17:05:06/""/1/"D107"/"7718.5"/"6174.8"/"17.35"/"423"/
371d0d4cb832415aac4ea3ad7a33437f/7678/2025-09-30 16:45:00/2025-09-30 16:50:11/""/1/"D107"/"7704.5"/"6163.6"/"17.32"/"422"/
3f17465769fc48bc8103c111206be9f7/7678/2025-09-30 16:30:00/2025-09-30 16:35:11/""/1/"D107"/"7728.2"/"6182.56"/"17.37"/"421"/
eaa9b2ae055d4cceb0e5609cf4689872/7678/2025-09-30 16:15:00/2025-09-30 16:20:11/""/1/"D107"/"7744.0"/"6195.2"/"17.41"/"420"/
bee02d8f35454e5e95ff112e0ce9aee7/7678/2025-09-30 16:00:00/2025-09-30 16:05:11/""/1/"D107"/"7761.2"/"6208.96"/"17.45"/"419"/
e7186554462b4e1a9e1877e035a06a3a/7678/2025-09-30 15:45:00/2025-09-30 15:50:11/""/1/"D107"/"7760.2"/"6208.16"/"17.44"/"418"/
90088ae02d0f4d6fa9584468308dd66a/7678/2025-09-30 15:30:00/2025-09-30 15:35:11/""/1/"D107"/"7730.7"/"6184.56"/"17.38"/"417"/
fd4dd149c88041d7b050632589199c64/7678/2025-09-30 15:15:00/2025-09-30 15:20:11/""/1/"D107"/"7751.2"/"6200.96"/"17.42"/"416"/
a474e8de9ec542829decb1ecb8a62240/7678/2025-09-30 15:00:00/2025-09-30 15:04:56/""/1/"D107"/"7772.3"/"6217.84"/"17.47"/"415"/
b7668a6c959f467698b224acfadeb2b3/7678/2025-09-30 14:45:00/2025-09-30 14:50:11/""/1/"D107"/"7771.2"/"6216.96"/"17.47"/"414"/
abeec5f64b7e480bb364f05056a7f5a6/7678/2025-09-30 14:30:00/2025-09-30 14:35:06/""/1/"D107"/"7765.9"/"6212.72"/"17.46"/"413"/
dd054f9bb8074d4baf08f2604adde0e0/7678/2025-09-30 14:15:00/2025-09-30 14:20:06/""/1/"D107"/"7765.7"/"6212.56"/"17.46"/"412"/
325f909dec784492a591ae468fbb2ee0/7678/2025-09-30 14:00:00/2025-09-30 14:05:11/""/1/"D107"/"7731.8"/"6185.44"/"17.38"/"411"/
68fd093e3d9e44b084b3fcdcf79069a5/7678/2025-09-30 13:45:00/2025-09-30 13:50:16/""/1/"D107"/"7758.5"/"6206.8"/"17.44"/"410"/
6f465cd41fab4f6a80007a37676e91f8/7678/2025-09-30 13:30:00/2025-09-30 13:35:11/""/1/"D107"/"7751.6"/"6201.28"/"17.42"/"409"/
8840415891a94bbb8434e481fec66ba0/7678/2025-09-30 13:15:00/2025-09-30 13:20:01/""/1/"D107"/"7735.6"/"6188.48"/"17.39"/"408"/
d91e397c851744a3a86bdf5f8090db45/7678/2025-09-30 13:00:00/2025-09-30 13:05:16/""/1/"D107"/"7745.8"/"6196.64"/"17.41"/"407"/
80a4b0c3901c4af0b53311b709dd1774/7678/2025-09-30 12:45:00/2025-09-30 12:50:11/""/1/"D107"/"7733.2"/"6186.56"/"17.38"/"406"/
ea65186f9241477fb182ad655749d5da/7678/2025-09-30 12:30:00/2025-09-30 12:35:11/""/1/"D107"/"7751.7"/"6201.36"/"17.42"/"405"/
77209cfc05534452b22252efc227300b/7678/2025-09-30 12:15:00/2025-09-30 12:20:11/""/1/"D107"/"7750.2"/"6200.16"/"17.42"/"404"/
10106f6998004a94a2141bcc9a5a11b8/7678/2025-09-30 12:00:00/2025-09-30 12:05:06/""/1/"D107"/"7731.4"/"6185.12"/"17.38"/"403"/
df4174b97490454d8d26acace4bfef63/7678/2025-09-30 11:45:00/2025-09-30 11:50:11/""/1/"D107"/"7754.2"/"6203.36"/"17.43"/"402"/
7611bae368204f2687bda9120d4600eb/7678/2025-09-30 11:30:00/2025-09-30 11:35:06/""/1/"D107"/"7733.6"/"6186.88"/"17.38"/"401"/
a3c94555b12e4a3b95990c02ed660635/7678/2025-09-30 11:15:00/2025-09-30 11:20:11/""/1/"D107"/"7725.4"/"6180.32"/"17.37"/"400"/
5807f77c58b64c2a8975054ea7222a66/7678/2025-09-30 11:00:00/2025-09-30 11:05:11/""/1/"D107"/"7730.4"/"6184.32"/"17.38"/"399"/
8e476cf68d354fca95790d8b825efd95/7678/2025-09-30 10:45:00/2025-09-30 10:50:16/""/1/"D107"/"7736.9"/"6189.52"/"17.39"/"398"/
b94b1cffee9e4bd28d844932eb4fcc59/7678/2025-09-30 10:30:00/2025-09-30 10:35:06/""/1/"D107"/"7761.6"/"6209.28"/"17.45"/"397"/
8c638e4fe65b43bd92cd6af3f9b3bc47/7678/2025-09-30 10:15:00/2025-09-30 10:19:56/""/1/"D107"/"7777.2"/"6221.76"/"17.48"/"396"/
47e24201d4ae47ddace843adeaf72324/7678/2025-09-30 10:00:00/2025-09-30 10:05:01/""/1/"D107"/"7769.3"/"6215.44"/"17.46"/"395"/
f1f635f1836b42b6a0999a3e0a69f3e1/7678/2025-09-30 09:45:00/2025-09-30 09:50:11/""/1/"D107"/"7762.7"/"6210.16"/"17.45"/"394"/
b397e8796bf6465f9386f4c8b56782f0/7678/2025-09-30 09:30:00/2025-09-30 09:35:11/""/1/"D107"/"7761.5"/"6209.2"/"17.45"/"393"/
a5b76f321d824af19725387d54f6bbdb/7678/2025-09-30 09:15:00/2025-09-30 09:20:06/""/1/"D107"/"7734.5"/"6187.6"/"17.39"/"392"/
e453892a83424ef6b32e20afa94d3edc/7678/2025-09-30 09:00:00/2025-09-30 09:05:06/""/1/"D107"/"7740.8"/"6192.64"/"17.40"/"391"/
9c6b1a5a063b4ee79db619a38731900e/7678/2025-09-30 08:45:00/2025-09-30 08:50:11/""/1/"D107"/"7736.6"/"6189.28"/"17.39"/"390"/
ae8f74c328fc484ab0b115132721e39b/7678/2025-09-30 08:30:00/2025-09-30 08:35:11/""/1/"D107"/"7729.5"/"6183.6"/"17.37"/"389"/
ae3866ff39a34d8ca8e550fb740a00a1/7678/2025-09-30 07:45:00/2025-09-30 07:50:11/""/1/"D107"/"7734.1"/"6187.28"/"17.39"/"388"/
52148ec70ff8404580dac26ef1540e83/7678/2025-09-30 07:30:00/2025-09-30 07:35:11/""/1/"D107"/"7735.9"/"6188.72"/"17.39"/"387"/
c1e92d9a361b47eeaca778e2cb6168e8/7678/2025-09-30 07:15:00/2025-09-30 07:20:11/""/1/"D107"/"7735.0"/"6188.0"/"17.39"/"386"/
a8af3dd409bb4c25bda68fc197a858c3/7678/2025-09-30 07:00:00/2025-09-30 07:05:11/""/1/"D107"/"7778.8"/"6223.04"/"17.48"/"385"/
8cd74e0991af426fbfcc6411be28c078/7678/2025-09-30 06:45:00/2025-09-30 06:50:11/""/1/"D107"/"7772.9"/"6218.32"/"17.47"/"384"/
fa4057d84cf4409e809beeb2f8796d9d/7678/2025-09-30 06:30:00/2025-09-30 06:35:16/""/1/"D107"/"7747.9"/"6198.32"/"17.42"/"383"/
464bf16027d24c7695a49d385a4ec8bb/7678/2025-09-30 06:15:00/2025-09-30 06:20:06/""/1/"D107"/"7774.3"/"6219.44"/"17.48"/"382"/
26c0a78ea4c846dbbb35a0fa6f380938/7678/2025-09-30 06:00:00/2025-09-30 06:05:06/""/1/"D107"/"7791.0"/"6232.8"/"17.51"/"381"/
15fd140bb34a403792d56689ff67eb57/7678/2025-09-30 05:45:00/2025-09-30 05:50:16/""/1/"D107"/"7778.1"/"6222.48"/"17.48"/"380"/
5978a44331d94e54ad2afe686d12f878/7678/2025-09-30 05:30:00/2025-09-30 05:35:11/""/1/"D107"/"7807.0"/"6245.6"/"17.55"/"379"/
600f9a807add4e368505402eb9a7e3de/7678/2025-09-30 05:15:00/2025-09-30 05:20:11/""/1/"D107"/"7804.0"/"6243.2"/"17.54"/"378"/
ca93306cc5a243b68c7eed7fbfc699fa/7678/2025-09-30 05:00:00/2025-09-30 05:05:16/""/1/"D107"/"7787.3"/"6229.84"/"17.50"/"377"/
8d46b3fcb0d544d19908deffb0c4c50b/7678/2025-09-30 04:45:00/2025-09-30 04:50:01/""/1/"D107"/"7835.2"/"6268.16"/"17.61"/"376"/
a31431e792d44485ba02e63434c812fa/7678/2025-09-30 04:30:00/2025-09-30 04:35:11/""/1/"D107"/"7794.1"/"6235.28"/"17.52"/"375"/
b9b79a97f3d1414b9f01361a1987c20e/7678/2025-09-30 04:15:00/2025-09-30 04:20:11/""/1/"D107"/"7798.9"/"6239.12"/"17.53"/"374"/
ad3b875dd044448189a34c4669023ce6/7678/2025-09-30 04:00:00/2025-09-30 04:05:06/""/1/"D107"/"7821.8"/"6257.44"/"17.58"/"373"/
2250e14a66bf41a793656ad1c1d382e6/7678/2025-09-30 03:45:00/2025-09-30 03:50:16/""/1/"D107"/"7840.8"/"6272.64"/"17.62"/"372"/
3a5521208e244175938cc22b020e8d85/7678/2025-09-30 03:30:00/2025-09-30 03:35:11/""/1/"D107"/"7819.2"/"6255.36"/"17.58"/"371"/
a9c704c41619426cb0042b1b31de3903/7678/2025-09-30 03:15:00/2025-09-30 03:20:11/""/1/"D107"/"7846.7"/"6277.36"/"17.64"/"370"/
a145e3d0bf114ccb8ff3995759c117e7/7678/2025-09-30 03:00:00/2025-09-30 03:05:11/""/1/"D107"/"7828.7"/"6262.96"/"17.60"/"369"/
b06577a930ef47a68636da48e7148229/7678/2025-09-30 02:45:00/2025-09-30 02:50:11/""/1/"D107"/"7824.1"/"6259.28"/"17.59"/"368"/
d9a001d88f1f45b09c952ca695e96e0e/7678/2025-09-30 02:30:00/2025-09-30 02:35:11/""/1/"D107"/"7846.0"/"6276.8"/"17.64"/"367"/
eedf29551cc94c5cadd1165c31d8427c/7678/2025-09-30 02:15:00/2025-09-30 02:20:11/""/1/"D107"/"7835.1"/"6268.08"/"17.61"/"366"/
513eda1c78a8461aa28a1b766675338d/7678/2025-09-30 02:00:00/2025-09-30 02:05:11/""/1/"D107"/"7837.8"/"6270.24"/"17.62"/"365"/
9a55fbcd0098471cb03b36dfac6860a1/7678/2025-09-30 01:45:00/2025-09-30 01:50:11/""/1/"D107"/"7899.3"/"6319.44"/"17.76"/"364"/
f0a6114474f04de69e353b1839efe529/7678/2025-09-30 01:30:00/2025-09-30 01:35:11/""/1/"D107"/"7895.6"/"6316.48"/"17.75"/"363"/
8b9b19f21fea4378a3342d0a31782ee4/7678/2025-09-30 01:15:00/2025-09-30 01:20:11/""/1/"D107"/"7877.7"/"6302.16"/"17.71"/"362"/
6a5160bd2e784afebc6490197a380373/7678/2025-09-30 01:00:00/2025-09-30 01:05:11/""/1/"D107"/"7873.1"/"6298.48"/"17.70"/"361"/
93ffbe7a75954319b476ff9bdccb00a8/7678/2025-09-30 00:45:00/2025-09-30 00:50:11/""/1/"D107"/"7870.9"/"6296.72"/"17.69"/"360"/
54ccaeaab2504d27932cc569b50a29c5/7678/2025-09-30 00:30:00/2025-09-30 00:35:11/""/1/"D107"/"7900.9"/"6320.72"/"17.76"/"359"/
a4d94ea56b7c4f23bf25766e71daece5/7678/2025-09-30 00:15:00/2025-09-30 00:20:01/""/1/"D107"/"7898.7"/"6318.96"/"17.75"/"358"/
2f804f24805142e2b0b22b58df7eb9cd/7678/2025-09-30 00:00:00/2025-09-30 00:05:11/""/1/"D107"/"7872.8"/"6298.24"/"17.70"/"357"/
3b01b949563a4aa9a5b3a9b3c4dee151/7678/2025-09-29 23:45:00/2025-09-29 23:50:11/""/1/"D107"/"7909.9"/"6327.92"/"17.78"/"356"/
1124c67dc5624543ac2309942ae7e440/7678/2025-09-29 23:30:00/2025-09-29 23:35:11/""/1/"D107"/"7885.0"/"6308.0"/"17.72"/"355"/
7709faffe9bb424384449dcfeaac2981/7678/2025-09-29 23:15:00/2025-09-29 23:20:11/""/1/"D107"/"7887.9"/"6310.32"/"17.73"/"354"/
17b25868fb3c44c481947edabeb667a6/7678/2025-09-29 23:00:00/2025-09-29 23:05:11/""/1/"D107"/"7894.6"/"6315.68"/"17.75"/"353"/
e165747e8394450ab8be2a4d5fcbbbe2/7678/2025-09-29 22:45:00/2025-09-29 22:50:16/""/1/"D107"/"7893.2"/"6314.56"/"17.74"/"352"/
9d532dfb738746c289f11758e0544f90/7678/2025-09-29 22:30:00/2025-09-29 22:35:11/""/1/"D107"/"7917.4"/"6333.92"/"17.80"/"351"/
54ae667404354b369d44886285d561a0/7678/2025-09-29 22:15:00/2025-09-29 22:20:11/""/1/"D107"/"7937.8"/"6350.24"/"17.84"/"350"/
8f69544f3823469a932ef13484319af2/7678/2025-09-29 22:00:00/2025-09-29 22:05:36/""/1/"D107"/"7942.5"/"6354.0"/"17.85"/"349"/
4eae2162c6dd4b94bfcc3a71f80db638/7678/2025-09-29 21:45:00/2025-09-29 21:50:11/""/1/"D107"/"7939.5"/"6351.6"/"17.85"/"348"/
2c917ae61ac24999ad231cf9ac0164b0/7678/2025-09-29 21:30:00/2025-09-29 21:35:11/""/1/"D107"/"7937.7"/"6350.16"/"17.84"/"347"/
1d8e78fd3b18415eb9ea90673da82383/7678/2025-09-29 21:15:00/2025-09-29 21:20:11/""/1/"D107"/"7951.0"/"6360.8"/"17.87"/"346"/
c306ceff7d604147b05d9c9219c64c39/7678/2025-09-29 21:00:00/2025-09-29 21:05:06/""/1/"D107"/"7951.7"/"6361.36"/"17.87"/"345"/
3209e3ff97614099ab81622dc6b0115c/7678/2025-09-29 20:45:00/2025-09-29 20:50:16/""/1/"D107"/"7961.4"/"6369.12"/"17.90"/"344"/
38b08061cacb4dffbfa9afab223123e5/7678/2025-09-29 20:30:00/2025-09-29 20:35:11/""/1/"D107"/"7969.7"/"6375.76"/"17.91"/"343"/
0964a263249348e2abe06019428fa5cd/7678/2025-09-29 20:15:00/2025-09-29 20:20:11/""/1/"D107"/"7966.6"/"6373.28"/"17.91"/"342"/
d1258ed7329f404c8315d41fdf21be80/7678/2025-09-29 20:00:00/2025-09-29 20:05:11/""/1/"D107"/"8008.9"/"6407.12"/"18.00"/"341"/
8a5335c9542446d08a0a7d8df16ebd18/7678/2025-09-29 19:45:00/2025-09-29 19:50:11/""/1/"D107"/"7967.1"/"6373.68"/"17.91"/"340"/
84fba572e5d94450b8e48ead6e7783a1/7678/2025-09-29 19:30:00/2025-09-29 19:35:06/""/1/"D107"/"7963.3"/"6370.64"/"17.90"/"339"/
776ba58dadb8491eb23d159b75e2d298/7678/2025-09-29 19:15:00/2025-09-29 19:20:11/""/1/"D107"/"7962.5"/"6370.0"/"17.90"/"338"/
6ad792b0aece4583a73dd22f6d8d48ae/7678/2025-09-29 19:00:00/2025-09-29 19:05:11/""/1/"D107"/"7965.3"/"6372.24"/"17.90"/"337"/
373eede3c1ab416b9f117599a726a0d8/7678/2025-09-29 18:45:00/2025-09-29 18:50:11/""/1/"D107"/"8004.3"/"6403.44"/"17.99"/"336"/
d17834d89f584cf1916ab7138a69ee1c/7678/2025-09-29 18:30:00/2025-09-29 18:35:16/""/1/"D107"/"7996.9"/"6397.52"/"17.98"/"335"/
52cd29aadb744d8580c83a052523ac9f/7678/2025-09-29 18:15:00/2025-09-29 18:20:11/""/1/"D107"/"7993.7"/"6394.96"/"17.97"/"334"/
898d949ab18b4b6d9dc3afb5bdd65a31/7678/2025-09-29 18:00:00/2025-09-29 18:05:11/""/1/"D107"/"7973.6"/"6378.88"/"17.92"/"333"/
bb6dabeddf1b4da888e4a1706122ccc4/7678/2025-09-29 17:45:00/2025-09-29 17:50:11/""/1/"D107"/"7998.5"/"6398.8"/"17.98"/"332"/
22ca140bc4e74041b947f1c69893f3c6/7678/2025-09-29 17:30:00/2025-09-29 17:34:56/""/1/"D107"/"8019.6"/"6415.68"/"18.03"/"331"/
141fd48241df4aef8578447ee6d2dfff/7678/2025-09-29 17:15:00/2025-09-29 17:20:11/""/1/"D107"/"7981.5"/"6385.2"/"17.94"/"330"/
e43fd7487d9a4462bc3e29e6b4f4dac3/7678/2025-09-29 17:00:00/2025-09-29 17:05:11/""/1/"D107"/"7981.3"/"6385.04"/"17.94"/"329"/
f21f091cd4f1436ebd3d4db77ca08311/7678/2025-09-29 16:45:00/2025-09-29 16:50:01/""/1/"D107"/"8048.1"/"6438.48"/"18.09"/"328"/
cea48c8a6b0c4f6092582e9d8946743a/7678/2025-09-29 16:30:00/2025-09-29 16:35:11/""/1/"D107"/"8003.0"/"6402.4"/"17.99"/"327"/
e94398fb9d2b4e95bd49e7912069f4e8/7678/2025-09-29 16:15:00/2025-09-29 16:20:11/""/1/"D107"/"8001.1"/"6400.88"/"17.98"/"326"/
8c99f156fa52485985c055b1245ecd02/7678/2025-09-29 16:00:00/2025-09-29 16:05:06/""/1/"D107"/"8023.5"/"6418.8"/"18.04"/"325"/
1567a70f0a384a0d8837e12deac4bae1/7678/2025-09-29 15:45:00/2025-09-29 15:50:11/""/1/"D107"/"7997.2"/"6397.76"/"17.98"/"324"/
bfa119e112314016803a62b66c7f0798/7678/2025-09-29 15:30:00/2025-09-29 15:35:06/""/1/"D107"/"8002.2"/"6401.76"/"17.99"/"323"/
a50ac1af84e8435a83c5d36892c25160/7678/2025-09-29 15:15:00/2025-09-29 15:20:08/""/1/"D107"/"8001.8"/"6401.44"/"17.99"/"322"/
bf83550452f043b6bc185630e1552d78/7678/2025-09-29 15:00:00/2025-09-29 15:07:38/""/1/"D107"/"8036.9"/"6429.52"/"18.07"/"321"/
980d84501cbc4e2782be99ffdbe3a546/7678/2025-09-29 14:45:00/2025-09-29 14:52:33/""/1/"D107"/"8002.7"/"6402.16"/"17.99"/"320"/
d4f67ff1c4b748dd821bf1914a74c0c2/7678/2025-09-29 14:30:00/2025-09-29 14:38:43/""/1/"D107"/"8021.3"/"6417.04"/"18.03"/"319"/
92cfefdc51e547b89cb26e93e20e6af6/7678/2025-09-29 14:15:00/2025-09-29 14:22:03/""/1/"D107"/"7995.1"/"6396.08"/"17.97"/"318"/
d465fb0f6ac54582969b4084b946db18/7678/2025-09-29 14:00:00/2025-09-29 14:05:58/""/1/"D107"/"7994.7"/"6395.76"/"17.97"/"317"/
105e7415de82467b9fa705c2faa9e26c/7678/2025-09-29 13:45:00/2025-09-29 13:50:11/""/1/"D107"/"8000.6"/"6400.48"/"17.98"/"316"/
60c400a612d542d792f7758a358df73c/7678/2025-09-29 13:30:00/2025-09-29 13:35:43/""/1/"D107"/"8000.6"/"6400.48"/"17.98"/"315"/
96de561e33224dfc9429d52e889713da/7678/2025-09-29 13:15:00/2025-09-29 13:20:11/""/1/"D107"/"8003.9"/"6403.12"/"17.99"/"314"/
ba904c70335244ebb7600245c6409cdf/7678/2025-09-29 13:00:00/2025-09-29 13:08:28/""/1/"D107"/"7999.5"/"6399.6"/"17.98"/"313"/
3cc049ce333448659bb03519f2896c76/7678/2025-09-29 12:45:00/2025-09-29 12:53:18/""/1/"D107"/"8008.7"/"6406.96"/"18.00"/"312"/
215c027c75544c599eab98ca23f2e1a0/7678/2025-09-29 12:30:00/2025-09-29 12:38:53/""/1/"D107"/"8001.5"/"6401.2"/"17.99"/"311"/
e64bb9375efe4d95823768623c5cba97/7678/2025-09-29 12:15:00/2025-09-29 12:24:18/""/1/"D107"/"8003.7"/"6402.96"/"17.99"/"310"/
fd3d5a0685c648efb5a82296808a6c80/7678/2025-09-29 12:00:00/2025-09-29 12:08:18/""/1/"D107"/"8020.8"/"6416.64"/"18.03"/"309"/
8f688989ff3e449c8261543d8ce4e0ff/7678/2025-09-29 11:45:00/2025-09-29 11:53:43/""/1/"D107"/"8075.2"/"6460.16"/"18.15"/"308"/
7771b33f0d4b49719c9b23650adadf72/7678/2025-09-29 11:30:00/2025-09-29 11:37:48/""/1/"D107"/"8041.3"/"6433.04"/"18.07"/"307"/
5176edcd2a0e4146a6f2f19405e1fb87/7678/2025-09-29 11:15:00/2025-09-29 11:24:08/""/1/"D107"/"8037.1"/"6429.68"/"18.07"/"306"/
9a704857f1d14ddd9bb08b0ea9145ebf/7678/2025-09-29 11:00:00/2025-09-29 11:07:33/""/1/"D107"/"8069.8"/"6455.84"/"18.14"/"305"/
845b6da2ac4f4012be56f14616947aa8/7678/2025-09-29 10:45:00/2025-09-29 10:50:11/""/1/"D107"/"8042.7"/"6434.16"/"18.08"/"304"/
473e833b55444a45ad5a3d9f101e1487/7678/2025-09-29 10:30:00/2025-09-29 10:35:11/""/1/"D107"/"8040.2"/"6432.16"/"18.07"/"303"/
90755d45ddb74d918c4169ac5d7177e2/7678/2025-09-29 10:15:00/2025-09-29 10:20:01/""/1/"D107"/"8130.4"/"6504.32"/"18.28"/"302"/
a6d81796234e42888b4115e357a1fada/7678/2025-09-29 10:00:00/2025-09-29 10:05:12/""/1/"D107"/"8080.7"/"6464.56"/"18.16"/"301"/
859fb29f6f9543fdb199d38b70a7ea71/7678/2025-09-29 09:45:00/2025-09-29 09:50:06/""/1/"D107"/"8082.0"/"6465.6"/"18.17"/"300"/
be2a60c6755947d48249edfe9481349b/7678/2025-09-29 09:30:00/2025-09-29 09:35:11/""/1/"D107"/"8116.5"/"6493.2"/"18.24"/"299"/
50d61c50e35d4c17b62b87736009276a/7678/2025-09-29 09:15:00/2025-09-29 09:20:11/""/1/"D107"/"8116.2"/"6492.96"/"18.24"/"298"/
c500e6dbd9494d2791e58ca4606a854e/7678/2025-09-29 09:00:00/2025-09-29 09:05:11/""/1/"D107"/"8084.7"/"6467.76"/"18.17"/"297"/
04a58796a0134858abf5230b45e8ce64/7678/2025-09-29 08:45:00/2025-09-29 08:50:06/""/1/"D107"/"8121.0"/"6496.8"/"18.25"/"296"/
4a41e510a89d405e9d835cd02c751fca/7678/2025-09-29 08:30:00/2025-09-29 08:35:11/""/1/"D107"/"8098.9"/"6479.12"/"18.21"/"295"/
b7829bce5cac41ef93df0b80fddb4143/7678/2025-09-29 08:15:00/2025-09-29 08:20:06/""/1/"D107"/"8096.4"/"6477.12"/"18.20"/"294"/
7b7faa0070e3455daa64f0820a85cd17/7678/2025-09-29 08:00:00/2025-09-29 08:05:11/""/1/"D107"/"8127.1"/"6501.68"/"18.27"/"293"/
a9746713b68e44a3b39be1e478c76335/7678/2025-09-29 07:45:00/2025-09-29 07:50:11/""/1/"D107"/"8106.7"/"6485.36"/"18.22"/"292"/
2a41694955834684b0af6a62c0bd5376/7678/2025-09-29 07:30:00/2025-09-29 07:35:11/""/1/"D107"/"8141.8"/"6513.44"/"18.30"/"291"/
62569ca908b540f1a0d82620415b91ca/7678/2025-09-29 07:15:00/2025-09-29 07:20:16/""/1/"D107"/"8110.8"/"6488.64"/"18.23"/"290"/
4967120212404bc68fc180ed65ec20d1/7678/2025-09-29 07:00:00/2025-09-29 07:05:16/""/1/"D107"/"8110.5"/"6488.4"/"18.23"/"289"/
32d447c007cc4f949ff62dcb952c3934/7678/2025-09-29 06:45:00/2025-09-29 06:50:16/""/1/"D107"/"8108.2"/"6486.56"/"18.23"/"288"/
04e4e7754c36473d9ade07045fecf4ac/7678/2025-09-29 06:30:00/2025-09-29 06:35:11/""/1/"D107"/"8108.4"/"6486.72"/"18.23"/"287"/
a873cc9563c04241adade89f0cbf2894/7678/2025-09-29 06:15:00/2025-09-29 06:20:16/""/1/"D107"/"8111.6"/"6489.28"/"18.23"/"286"/
