Read Time,Volume
2025-10-02 13:15:00,5680.0
2025-10-02 13:00:00,5684.08
2025-10-02 12:45:00,5689.04
2025-10-02 12:30:00,5694.4
2025-10-02 12:15:00,5686.08
2025-10-02 12:00:00,5711.12
2025-10-02 11:45:00,5697.76
2025-10-02 11:30:00,5682.32
2025-10-02 11:15:00,5710.08
2025-10-02 11:00:00,5715.52
2025-10-02 10:45:00,5692.24
2025-10-02 10:30:00,5690.88
2025-10-02 10:15:00,5687.84
2025-10-02 10:00:00,5719.28
2025-10-02 09:45:00,5692.24
2025-10-02 09:30:00,5699.52
2025-10-02 09:15:00,5708.72
2025-10-02 09:00:00,5719.36
2025-10-02 08:45:00,5745.76
2025-10-02 08:30:00,5721.36
2025-10-02 08:15:00,5727.12
2025-10-02 08:00:00,5719.44
2025-10-02 07:45:00,5735.52
2025-10-02 07:30:00,5761.92
2025-10-02 07:15:00,5777.76
2025-10-02 07:00:00,5755.2
2025-10-02 06:45:00,5765.6
2025-10-02 06:30:00,5762.4
2025-10-02 06:15:00,5759.84
2025-10-02 06:00:00,5750.88
2025-10-02 05:45:00,5759.12
2025-10-02 05:30:00,5753.04
2025-10-02 05:15:00,5772.32
2025-10-02 05:00:00,5758.16
2025-10-02 04:45:00,5752.88
2025-10-02 04:30:00,5774.64
2025-10-02 04:15:00,5774.0
2025-10-02 04:00:00,5751.04
2025-10-02 03:45:00,5788.56
2025-10-02 03:30:00,5762.56
2025-10-02 03:15:00,5768.4
2025-10-02 03:00:00,5771.44
2025-10-02 02:45:00,5764.08
2025-10-02 02:30:00,5772.56
2025-10-02 02:15:00,5796.64
2025-10-02 02:00:00,5790.24
2025-10-02 01:45:00,5818.32
2025-10-02 01:30:00,5791.52
2025-10-02 01:15:00,5795.6
2025-10-02 01:00:00,5834.4
2025-10-02 00:45:00,5824.88
2025-10-02 00:30:00,5806.88
2025-10-02 00:15:00,5808.08
2025-10-02 00:00:00,5809.76
2025-10-01 23:45:00,5809.04
2025-10-01 23:30:00,5824.24
2025-10-01 23:15:00,5842.88
2025-10-01 23:00:00,5822.64
2025-10-01 22:45:00,5853.68
2025-10-01 22:30:00,5828.24
2025-10-01 22:15:00,5832.56
2025-10-01 22:00:00,5867.68
2025-10-01 21:45:00,5843.28
2025-10-01 21:30:00,5844.4
2025-10-01 21:15:00,5843.2
2025-10-01 21:00:00,5836.64
2025-10-01 20:45:00,5860.96
2025-10-01 20:30:00,5845.76
2025-10-01 20:15:00,5840.64
2025-10-01 20:00:00,5850.96
2025-10-01 19:45:00,5846.24
2025-10-01 19:30:00,5848.4
2025-10-01 19:15:00,5882.0
2025-10-01 19:00:00,5852.64
2025-10-01 18:45:00,5852.8
2025-10-01 18:30:00,5847.04
2025-10-01 18:15:00,5861.04
2025-10-01 18:00:00,5847.12
2025-10-01 17:45:00,5851.44
2025-10-01 17:30:00,5852.32
2025-10-01 17:15:00,5870.88
2025-10-01 17:00:00,5845.84
2025-10-01 16:45:00,5851.76
2025-10-01 16:30:00,5850.08
2025-10-01 16:15:00,5856.72
2025-10-01 16:00:00,5856.48
2025-10-01 15:45:00,5856.72
2025-10-01 15:30:00,5856.56
2025-10-01 15:15:00,5857.84
2025-10-01 15:00:00,5895.76
2025-10-01 14:45:00,5886.32
2025-10-01 14:30:00,5932.32
2025-10-01 14:15:00,5924.4
2025-10-01 14:00:00,5944.16
2025-10-01 13:45:00,5936.88
2025-10-01 13:30:00,5912.88
2025-10-01 13:15:00,5951.6
2025-10-01 13:00:00,5912.56
2025-10-01 12:45:00,5918.32
2025-10-01 12:30:00,5933.12
2025-10-01 12:15:00,5915.6
2025-10-01 12:00:00,5907.92
2025-10-01 11:45:00,5914.88
2025-10-01 11:30:00,5932.8
2025-10-01 11:15:00,5916.08
2025-10-01 11:00:00,5927.44
2025-10-01 10:45:00,5917.2
2025-10-01 10:30:00,5942.24
2025-10-01 10:15:00,5948.64
2025-10-01 10:00:00,5966.72
2025-10-01 09:45:00,5922.4
2025-10-01 09:30:00,5985.04
2025-10-01 09:15:00,5970.24
2025-10-01 09:00:00,5945.68
2025-10-01 08:45:00,5949.28
2025-10-01 08:30:00,5957.6
2025-10-01 08:15:00,5986.88
2025-10-01 08:00:00,5994.64
2025-10-01 07:45:00,5961.44
2025-10-01 07:30:00,5969.28
2025-10-01 07:15:00,5960.64
2025-10-01 07:00:00,5959.2
2025-10-01 06:45:00,5963.76
2025-10-01 06:30:00,5978.8
2025-10-01 06:15:00,6000.0
2025-10-01 06:00:00,5979.52
2025-10-01 05:45:00,5995.2
2025-10-01 05:30:00,5997.84
2025-10-01 05:15:00,5998.08
2025-10-01 05:00:00,6007.52
2025-10-01 04:45:00,6009.92
2025-10-01 04:30:00,5984.96
2025-10-01 04:15:00,5988.48
2025-10-01 04:00:00,5986.32
2025-10-01 03:45:00,5998.64
2025-10-01 03:30:00,5995.28
2025-10-01 03:15:00,6015.12
2025-10-01 03:00:00,5995.52
2025-10-01 02:45:00,5996.4
2025-10-01 02:30:00,6021.6
2025-10-01 02:15:00,6019.68
2025-10-01 02:00:00,6007.36
2025-10-01 01:45:00,6014.32
2025-10-01 01:30:00,6048.64
2025-10-01 01:15:00,6038.08
2025-10-01 01:00:00,6022.4
2025-10-01 00:45:00,6024.64
2025-10-01 00:30:00,6042.64
2025-10-01 00:15:00,6058.24
2025-10-01 00:00:00,6082.88
